x,euler,runge-kutta,answer
0,1,1,1
0.200000003,1.400000006,1.439944911,1.440000007
0.400000006,1.86666668,1.959891213,1.960000017
0.600000009,2.400000023,2.559835697,2.560000029
0.800000012,3.000000035,3.239776683,3.240000043
1.000000015,3.666666715,3.999713227,4.00000006
1.200000018,4.400000063,4.839644766,4.840000079
1.400000021,5.20000008,5.759570948,5.7600001
1.600000024,6.066666765,6.759491544,6.760000124
1.800000027,7.000000119,7.839406399,7.84000015
2.00000003,8.000000142,8.999315406,9.000000179
